"doi","date","times.cited"
"10.1128/AEM.02350-09","2010-03",37
"10.1128/JB.01677-09","2010-04",19
"10.1128/JB.01679-09","2010-04",4
"10.1128/AEM.02606-09","2010-03",22
"10.1128/AEM.02384-09","2010-03",12
"10.1128/AEM.02692-09","2010-04",66
"10.1128/AEM.02462-09","2010-04",19
"10.1128/AEM.02518-09","2010-04",16
"10.1128/AEM.02897-09","2010-04",31
"10.1128/AEM.02580-09","2010-04",39
"10.1128/AEM.02895-09","2010-03",34
"10.1128/IAI.00002-10","2010-04",21
"10.1128/IAI.00621-09","2010-04",29
"10.1128/IAI.00731-09","2010-04",7
"10.1128/IAI.00736-09","2010-04",22
"10.1128/IAI.01079-09","2010-04",21
"10.1128/IAI.01114-09","2010-04",8
"10.1128/IAI.01135-09","2010-04",22
"10.1128/IAI.01172-09","2010-04",21
"10.1128/IAI.01260-09","2010-04",26
"10.1128/IAI.01356-09","2010-04",36
"10.1128/IAI.01395-09","2010-04",65
"10.1128/AAC.01480-09","2010-04",13
"10.1128/MCB.01047-09","2010-04",56
"10.1128/MCB.01060-09","2010-04",19
"10.1128/MCB.01116-09","2010-04",110
"10.1128/AAC.01219-09","2010-04",14
"10.1128/AAC.01380-09","2010-04",7
"10.1128/AAC.01506-09","2010-04",32
"10.1128/JVI.02471-09","2010-04",37
"10.1128/JVI.02289-09","2010-04",39
"10.1128/JVI.01321-09","2010-04",42
"10.1128/JVI.01450-09","2010-04",28
"10.1128/JVI.01566-09","2010-04",29
"10.1128/JVI.01994-09","2010-04",35
"10.1128/JVI.01693-09","2010-04",18
"10.1128/JVI.02012-09","2010-04",38
"10.1128/JVI.02014-09","2010-04",27
"10.1128/JVI.02085-09","2010-04",28
"10.1128/JVI.02078-09","2010-04",74
"10.1128/JVI.02088-09","2010-04",15
"10.1128/JVI.02220-09","2010-04",49
"10.1128/JVI.02522-09","2010-04",9
"10.1128/JVI.02528-09","2010-04",39
"10.1128/JVI.02543-09","2010-04",15
"10.1128/JVI.02565-09","2010-04",32
"10.1128/JVI.02631-09","2010-04",29
"10.1128/JVI.02634-09","2010-04",93
"10.1128/JVI.02638-09","2010-04",8
"10.1128/JVI.02687-09","2010-04",76
"10.1128/JCM.00475-09","2010-05",10
"10.1128/JCM.01517-09","2010-04",9
"10.1128/JCM.01532-09","2010-04",28
"10.1128/JCM.02214-09","2010-04",31
"10.1128/JCM.02274-09","2010-04",30
"10.1128/JCM.02123-09","2010-04",41
"10.1128/JCM.02289-09","2010-04",13
"10.1128/JCM.02484-09","2010-04",11
"10.1128/CVI.00441-09","2010-04",16
"10.1128/JB.01357-09","2010-04",15
"10.1128/JB.01458-09","2010-04",18
"10.1128/JB.01659-09","2010-04",60
"10.1128/JB.01693-09","2010-04",2
"10.1128/JB.01673-09","2010-04",19
"10.1128/EC.00010-10","2010-04",8
"10.1128/EC.00253-09","2010-04",72
"10.1128/EC.00333-09","2010-04",35
"10.1128/AEM.01092-09","2010-04",9
"10.1128/AEM.01861-09","2010-04",10
"10.1128/AEM.02430-09","2010-04",52
"10.1128/AEM.02777-09","2010-04",21
"10.1128/AEM.02923-09","2010-04",15
"10.1128/AEM.03017-09","2010-04",26
"10.1128/JVI.00047-10","2010-05",2
"10.1128/JVI.01549-09","2010-04",61
"10.1128/JVI.01553-09","2010-04",41
"10.1128/JVI.01567-09","2010-05",8
"10.1128/JVI.01815-09","2010-04",19
"10.1128/JVI.01911-09","2010-05",14
"10.1128/JVI.02068-09","2010-04",44
"10.1128/JVI.02141-09","2010-05",13
"10.1128/JVI.02117-09","2010-04",7
"10.1128/JVI.02214-09","2010-05",11
"10.1128/JVI.02280-09","2010-05",51
"10.1128/JVI.02291-09","2010-04",31
"10.1128/JVI.02357-09","2010-05",54
"10.1128/JVI.02421-09","2010-05",64
"10.1128/JVI.02437-09","2010-05",6
"10.1128/JVI.02456-09","2010-05",12
"10.1128/JVI.02467-09","2010-04",30
"10.1128/JVI.02502-09","2010-04",32
"10.1128/JVI.02511-09","2010-05",9
"10.1128/JVI.02554-09","2010-05",49
"10.1128/JVI.02573-09","2010-04",30
"10.1128/JVI.02597-09","2010-04",94
"10.1128/CVI.00372-09","2010-04",12
"10.1128/CVI.00433-09","2010-04",6
"10.1128/CVI.00444-09","2010-04",6
"10.1128/CVI.00495-09","2010-04",7
"10.1128/CVI.00518-09","2010-04",9
"10.1128/JCM.00153-10","2010-04",3
"10.1128/JCM.01009-09","2010-04",9
"10.1128/JCM.01657-09","2010-04",14
"10.1128/JCM.01720-09","2010-04",22
"10.1128/JCM.01737-09","2010-04",11
"10.1128/JCM.01868-09","2010-04",21
"10.1128/JCM.02463-09","2010-04",10
"10.1128/AEM.01423-09","2010-04",98
"10.1128/AEM.01665-09","2010-04",32
"10.1128/AEM.01964-09","2010-04",28
"10.1128/AEM.02101-09","2010-04",56
"10.1128/AEM.02131-09","2010-04",7
"10.1128/AEM.02147-09","2010-04",24
"10.1128/AEM.02391-09","2010-04",44
"10.1128/JB.00002-10","2010-05",14
"10.1128/AEM.02535-09","2010-04",63
"10.1128/AEM.02547-09","2010-04",30
"10.1128/JB.00087-10","2010-04",3
"10.1128/AEM.02902-09","2010-04",72
"10.1128/AEM.02929-09","2010-04",42
"10.1128/AEM.02993-09","2010-04",79
"10.1128/JB.01553-09","2010-04",37
"10.1128/JB.01571-09","2010-06",22
"10.1128/JB.01597-09","2010-04",28
"10.1128/MCB.00900-09","2010-04",36
"10.1128/JB.01631-09","2010-06",58
"10.1128/JB.01666-09","2010-04",36
"10.1128/MCB.01089-09","2010-04",115
"10.1128/MCB.01199-09","2010-04",38
"10.1128/MCB.01247-09","2010-04",19
"10.1128/JB.01703-08","2010-04",22
"10.1128/MCB.01370-09","2010-04",72
"10.1128/MCB.01419-09","2010-04",21
"10.1128/MCB.01436-09","2010-04",3
"10.1128/MCB.01437-09","2010-04",14
"10.1128/MCB.01512-09","2010-04",21
"10.1128/MCB.01553-09","2010-04",27
"10.1128/MBIO.00012-10","2010-05",24
"10.1128/JVI.00010-10","2010-05",5
"10.1128/JVI.01940-09","2010-05",8
"10.1128/JVI.00851-09","2010-05",15
"10.1128/JVI.02066-09","2010-05",25
"10.1128/JVI.02198-09","2010-05",29
"10.1128/JVI.02319-09","2010-05",17
"10.1128/JVI.02365-09","2010-05",32
"10.1128/JVI.02340-09","2010-05",44
"10.1128/JVI.02434-09","2010-05",21
"10.1128/JVI.02478-09","2010-05",57
"10.1128/JVI.02480-09","2010-05",40
"10.1128/JVI.02508-09","2010-05",42
"10.1128/JVI.02514-09","2010-05",71
"10.1128/JVI.02536-09","2010-05",35
"10.1128/JVI.02550-09","2010-05",13
"10.1128/JVI.02585-09","2010-05",12
"10.1128/JVI.02619-09","2010-05",23
"10.1128/JVI.02698-09","2010-05",25
"10.1128/JVI.02670-09","2010-05",14
"10.1128/JCM.01881-09","2010-04",235
"10.1128/JCM.01907-09","2010-04",14
"10.1128/JCM.02033-09","2010-04",42
"10.1128/JCM.02036-09","2010-04",33
"10.1128/JCM.02054-09","2010-05",10
"10.1128/JB.01384-09","2010-05",24
"10.1128/JB.01402-09","2010-05",30
"10.1128/JB.01524-09","2010-04",52
"10.1128/JB.01593-09","2010-04",19
"10.1128/EC.00286-09","2010-04",12
"10.1128/EC.00373-09","2010-04",7
"10.1128/AEM.01506-09","2010-04",2
"10.1128/AEM.01752-09","2010-04",32
"10.1128/AEM.02211-09","2010-04",19
"10.1128/AEM.02499-09","2010-04",56
"10.1128/AEM.02583-09","2010-04",70
"10.1128/AEM.02735-09","2010-04",25
"10.1128/AEM.02738-09","2010-04",54
"10.1128/AEM.02792-09","2010-04",33
"10.1128/AEM.02805-09","2010-04",21
"10.1128/AEM.02807-09","2010-04",11
"10.1128/AEM.03154-09","2010-04",40
"10.1128/MCB.00171-10","2010-05",8
"10.1128/MCB.01075-09","2010-05",13
"10.1128/MCB.01511-09","2010-05",23
"10.1128/MCB.01619-09","2010-05",14
"10.1128/AAC.01017-09","2010-05",18
"10.1128/AAC.01231-09","2010-05",27
"10.1128/AAC.01236-09","2010-05",66
"10.1128/AAC.01460-09","2010-05",33
"10.1128/AAC.01598-09","2010-05",62
"10.1128/AAC.01609-09","2010-05",21
"10.1128/AAC.01610-09","2010-05",17
"10.1128/AAC.01653-09","2010-05",12
"10.1128/AAC.01662-09","2010-05",24
"10.1128/AAC.01764-09","2010-05",36
"10.1128/AEM.03134-09","2010-03",0
"10.1128/JB.01663-09","2010-03",0
"10.1128/JB.00047-10","2010-05",12
"10.1128/JB.00079-10","2010-05",34
"10.1128/JB.00109-10","2010-05",40
"10.1128/JB.01362-09","2010-05",4
"10.1128/JB.01445-09","2010-05",85
"10.1128/JB.01546-09","2010-05",18
"10.1128/JB.01654-09","2010-05",31
"10.1128/JB.01690-09","2010-05",37
"10.1128/EC.00300-09","2010-04",28
"10.1128/EC.00314-09","2010-04",11
"10.1128/EC.00316-09","2010-04",9
"10.1128/AEM.00666-09","2010-04",13
"10.1128/AEM.01992-09","2010-04",36
"10.1128/AEM.02016-09","2010-04",9
"10.1128/AEM.02085-09","2010-05",5
"10.1128/AEM.02271-09","2010-04",58
"10.1128/AEM.02348-09","2010-04",18
"10.1128/AEM.02426-09","2010-05",15
"10.1128/AEM.02436-09","2010-04",21
"10.1128/AEM.02590-09","2010-05",71
"10.1128/AEM.02739-09","2010-04",23
"10.1128/AEM.03066-09","2010-04",19
"10.1128/IAI.00016-10","2010-05",42
"10.1128/IAI.00065-10","2010-05",12
"10.1128/IAI.00100-10","2010-05",65
"10.1128/IAI.00410-09","2010-05",24
"10.1128/IAI.00811-09","2010-05",28
"10.1128/IAI.00889-09","2010-05",92
"10.1128/IAI.01140-09","2010-05",13
"10.1128/IAI.01143-09","2010-05",13
"10.1128/IAI.01199-09","2010-05",40
"10.1128/IAI.01307-09","2010-05",7
"10.1128/IAI.01410-09","2010-05",37
"10.1128/IAI.01415-09","2010-05",26
"10.1128/IAI.01433-09","2010-05",28
"10.1128/IAI.01450-09","2010-05",36
"10.1128/MCB.00114-10","2010-05",12
"10.1128/MCB.00723-09","2010-05",41
"10.1128/MCB.00852-09","2010-05",27
"10.1128/MCB.01094-09","2010-05",29
"10.1128/MCB.01181-09","2010-05",29
"10.1128/MCB.01441-09","2010-05",14
"10.1128/MCB.01614-09","2010-05",55
"10.1128/AAC.00019-10","2010-05",96
"10.1128/AAC.00816-09","2010-05",54
"10.1128/AAC.00870-09","2010-05",37
"10.1128/AAC.01046-09","2010-05",19
"10.1128/AAC.01340-09","2010-05",14
"10.1128/AAC.01304-09","2010-05",46
"10.1128/AAC.01527-09","2010-05",14
"10.1128/AAC.01608-09","2010-05",56
"10.1128/AAC.01616-09","2010-05",15
"10.1128/AAC.01638-09","2010-05",71
"10.1128/AAC.01712-09","2010-05",4
"10.1128/AAC.01730-09","2010-05",12
"10.1128/AAC.01787-09","2010-05",16
"10.1128/MMBR.00040-09","2010-03",114
"10.1128/MMBR.00042-09","2010-03",135
"10.1128/JCM.00315-10","2010-04",25
"10.1128/JCM.00357-10","2010-05",4
"10.1128/JCM.01161-09","2010-05",19
"10.1128/JCM.01473-09","2010-05",9
"10.1128/JCM.01522-09","2010-05",14
"10.1128/JCM.01809-09","2010-05",7
"10.1128/JCM.01710-09","2010-05",47
"10.1128/JCM.01912-09","2010-05",13
"10.1128/JVI.00042-10","2010-05",12
"10.1128/JVI.00060-10","2010-05",12
"10.1128/JVI.00051-10","2010-05",42
"10.1128/JVI.00090-10","2010-05",7
"10.1128/JVI.00206-10","2010-05",22
"10.1128/JVI.01300-09","2010-05",11
"10.1128/JVI.01664-09","2010-05",11
"10.1128/JVI.02265-09","2010-05",50
"10.1128/JVI.02417-09","2010-05",30
"10.1128/JVI.02489-09","2010-05",33
"10.1128/JVI.02503-09","2010-05",19
"10.1128/JVI.02525-09","2010-05",15
"10.1128/JVI.02571-09","2010-05",25
"10.1128/JVI.02635-09","2010-05",14
"10.1128/JVI.02667-09","2010-05",65
"10.1128/JB.01426-09","2010-05",16
"10.1128/JB.01472-09","2010-05",36
"10.1128/JB.01480-09","2010-05",137
"10.1128/EC.00329-09","2010-08",38
"10.1128/AEM.01714-09","2010-05",13
"10.1128/AEM.02459-09","2010-05",37
"10.1128/AEM.02524-09","2010-05",24
"10.1128/AEM.02697-09","2010-05",6
"10.1128/AEM.02737-09","2010-05",60
"10.1128/MCB.00108-10","2010-04",0
"10.1128/AAC.01450-09","2010-05",16
"10.1128/CVI.00003-10","2010-05",1
"10.1128/CVI.00209-09","2010-05",5
"10.1128/CVI.00485-09","2010-05",5
"10.1128/CVI.00489-09","2010-05",21
"10.1128/CVI.00529-09","2010-05",127
"10.1128/JCM.01348-09","2010-05",13
"10.1128/JCM.01467-09","2010-05",19
"10.1128/JCM.01730-09","2010-05",14
"10.1128/JCM.02250-09","2010-05",42
"10.1128/AEM.02023-09","2010-05",19
"10.1128/AEM.02167-09","2010-05",31
"10.1128/AEM.02289-09","2010-05",65
"10.1128/AEM.02291-09","2010-05",27
"10.1128/AEM.02421-09","2010-05",117
"10.1128/AEM.02714-09","2010-05",27
"10.1128/AEM.02776-09","2010-05",8
"10.1128/AEM.02984-09","2010-05",19
"10.1128/AEM.03026-09","2010-05",41
"10.1128/AEM.03127-09","2010-05",43
"10.1128/JVI.00140-10","2010-06",82
"10.1128/JVI.00243-10","2010-06",42
"10.1128/JVI.02153-09","2010-06",40
"10.1128/JVI.02531-09","2010-05",51
"10.1128/CVI.00515-09","2010-08",6
"10.1128/CVI.00526-09","2010-05",6
"10.1128/JVI.00369-10","2010-04",0
"10.1128/JVI.00253-10","2010-04",0
"10.1128/JB.00112-10","2010-06",21
"10.1128/JB.01502-09","2010-05",6
"10.1128/JB.01623-09","2010-05",6
"10.1128/JB.01652-09","2010-06",22
"10.1128/AEM.01688-09","2010-05",21
"10.1128/AEM.02270-09","2010-05",9
"10.1128/AEM.02810-09","2010-05",23
"10.1128/AEM.03069-09","2010-05",59
"10.1128/AEM.02444-09","2010-05",25
"10.1128/AEM.02566-09","2010-05",19
"10.1128/AEM.02757-09","2010-05",12
"10.1128/AEM.02718-09","2010-05",36
"10.1128/AAC.01243-09","2010-04",38
"10.1128/AAC.01377-09","2010-05",12
"10.1128/AAC.01444-09","2010-04",7
"10.1128/AAC.00737-08","2010-05",5
"10.1128/AAC.00756-09","2010-05",42
"10.1128/AAC.00998-09","2010-05",56
"10.1128/AAC.01150-09","2010-04",7
"10.1128/AAC.01350-09","2010-05",21
"10.1128/AAC.01463-09","2010-05",18
"10.1128/AAC.01580-09","2010-05",17
"10.1128/AAC.01517-09","2010-05",31
"10.1128/AAC.01538-09","2010-05",45
"10.1128/AAC.01585-09","2010-04",15
"10.1128/AAC.01504-09","2010-05",17
"10.1128/IAI.00472-09","2010-04",96
"10.1128/IAI.00908-09","2010-04",14
"10.1128/IAI.00848-09","2010-04",41
"10.1128/IAI.01010-09","2010-04",52
"10.1128/IAI.00862-09","2010-04",137
"10.1128/IAI.01171-09","2010-04",69
"10.1128/IAI.01406-09","2010-05",15
"10.1128/IAI.01082-09","2010-05",7
"10.1128/IAI.01351-09","2010-04",13
"10.1128/JVI.02168-09","2010-05",42
"10.1128/JVI.02438-09","2010-05",42
"10.1128/JCM.01145-09","2010-07",14
"10.1128/JCM.02210-09","2010-04",7
"10.1128/JCM.02281-09","2010-04",52
"10.1128/JCM.01299-09","2010-04",7
"10.1128/JCM.02019-09","2010-04",18
"10.1128/JCM.02258-09","2010-04",40
"10.1128/AEM.00862-09","2010-04",50
"10.1128/AEM.01944-09","2010-04",25
"10.1128/AEM.01790-09","2010-04",38
"10.1128/AEM.01930-09","2010-04",14
"10.1128/AEM.02250-09","2010-04",60
"10.1128/AEM.02520-09","2010-04",27
"10.1128/JB.00016-10","2010-04",21
"10.1128/JB.00809-09","2010-04",7
"10.1128/JB.01406-09","2010-04",11
"10.1128/JB.00023-10","2010-04",24
"10.1128/AEM.02700-09","2010-04",20
"10.1128/AEM.02852-09","2010-04",58
"10.1128/JB.01484-09","2010-04",51
"10.1128/JB.01562-09","2010-04",14
"10.1128/MCB.00007-10","2010-04",46
"10.1128/JB.01601-09","2010-06",57
"10.1128/MCB.01350-09","2010-04",38
"10.1128/EC.00192-09","2010-04",16
"10.1128/MCB.01318-09","2010-05",49
"10.1128/MCB.01343-09","2010-05",60
"10.1128/MCB.01450-08","2010-05",21
"10.1128/IAI.01102-09","2010-05",13
"10.1128/IAI.01125-09","2010-05",54
"10.1128/IAI.01174-09","2010-05",39
"10.1128/IAI.01236-09","2010-05",48
"10.1128/IAI.01282-09","2010-05",46
"10.1128/IAI.01308-09","2010-05",19
"10.1128/IAI.01316-09","2010-05",26
"10.1128/IAI.01365-09","2010-05",32
"10.1128/AAC.01110-09","2010-05",4
"10.1128/AAC.01143-09","2010-05",19
"10.1128/AAC.01365-09","2010-05",95
"10.1128/AAC.01384-09","2010-05",31
"10.1128/AAC.01423-09","2010-05",36
"10.1128/AAC.01508-09","2010-05",6
"10.1128/AAC.01529-09","2010-05",60
"10.1128/AAC.01521-09","2010-05",44
"10.1128/AAC.01533-09","2010-05",39
"10.1128/AAC.01634-09","2010-05",21
"10.1128/AAC.01714-09","2010-05",41
"10.1128/AAC.01636-09","2010-05",113
"10.1128/JVI.00026-10","2010-05",3
"10.1128/JVI.00126-10","2010-05",16
"10.1128/JVI.02156-09","2010-05",43
"10.1128/JCM.02483-09","2010-04",16
"10.1128/CVI.00010-10","2010-04",27
"10.1128/CVI.00341-09","2010-04",14
"10.1128/CVI.00356-09","2010-04",2
"10.1128/CVI.00382-09","2010-04",16
"10.1128/CVI.00432-09","2010-04",10
"10.1128/CVI.00436-09","2010-04",22
"10.1128/CVI.00445-09","2010-04",10
"10.1128/CVI.00494-09","2010-04",33
"10.1128/CVI.00499-09","2010-05",1
"10.1128/JCM.00169-10","2010-04",9
"10.1128/JCM.02082-09","2010-04",13
"10.1128/JCM.01745-09","2010-04",36
"10.1128/JCM.00006-10","2010-04",140
"10.1128/JCM.01226-09","2010-04",17
"10.1128/JCM.00359-09","2010-04",3
"10.1128/JCM.01566-09","2010-04",18
"10.1128/JCM.01780-09","2010-04",117
"10.1128/JCM.01832-09","2010-04",38
"10.1128/JCM.02130-09","2010-04",23
"10.1128/JCM.02117-09","2010-04",221
"10.1128/JCM.02384-09","2010-04",6
"10.1128/JCM.02402-09","2010-05",17
"10.1128/IAI.00015-10","2010-03",0
"10.1128/AAC.01503-09","2010-03",0
"10.1128/JVI.00128-10","2010-03",0
"10.1128/JB.00045-10","2010-04",8
"10.1128/JB.01324-09","2010-04",14
"10.1128/JB.00270-09","2010-04",16
"10.1128/EC.00351-09","2010-04",34
"10.1128/AEM.01463-09","2010-04",22
"10.1128/AEM.02622-09","2010-04",17
"10.1128/AEM.02516-09","2010-04",8
"10.1128/AEM.02783-09","2010-04",20
"10.1128/AEM.02865-09","2010-04",5
"10.1128/IAI.00962-09","2010-05",8
"10.1128/IAI.01142-09","2010-05",5
"10.1128/IAI.01096-09","2010-05",22
"10.1128/IAI.01235-09","2010-05",23
"10.1128/IAI.01267-09","2010-05",16
"10.1128/IAI.01277-09","2010-05",32
"10.1128/IAI.01165-09","2010-05",40
"10.1128/IAI.01258-09","2010-05",28
"10.1128/IAI.01346-09","2010-05",25
"10.1128/IAI.01384-09","2010-05",51
"10.1128/IAI.01426-09","2010-05",8
"10.1128/MCB.01166-09","2010-05",43
"10.1128/MCB.01392-09","2010-05",33
"10.1128/MCB.01505-09","2010-05",64
"10.1128/MCB.01510-09","2010-05",29
"10.1128/MCB.01651-09","2010-05",128
"10.1128/AAC.01276-09","2010-05",43
"10.1128/AAC.01367-09","2010-05",58
"10.1128/AAC.01406-09","2010-05",8
"10.1128/AAC.01432-09","2010-05",31
"10.1128/AAC.01452-09","2010-05",169
"10.1128/AAC.01513-09","2010-05",29
"10.1128/AAC.01563-09","2010-05",66
"10.1128/AAC.01696-09","2010-05",20
"10.1128/AAC.01568-09","2010-05",5
"10.1128/JVI.00101-10","2010-05",19
"10.1128/JVI.00029-10","2010-05",57
"10.1128/JVI.00710-09","2010-05",9
"10.1128/JVI.01699-09","2010-05",7
"10.1128/JVI.01931-09","2010-05",32
"10.1128/JVI.01963-09","2010-05",20
"10.1128/JVI.02018-09","2010-05",13
"10.1128/JVI.02281-09","2010-05",6
"10.1128/JVI.02306-09","2010-05",40
"10.1128/JVI.02325-09","2010-05",87
"10.1128/JVI.02369-09","2010-05",32
"10.1128/JVI.02390-09","2010-05",24
"10.1128/JVI.02393-09","2010-05",64
"10.1128/JVI.02405-09","2010-05",55
"10.1128/JVI.02431-09","2010-05",7
"10.1128/JVI.02406-09","2010-05",103
"10.1128/JVI.02441-09","2010-05",21
"10.1128/JVI.02442-09","2010-05",15
"10.1128/JVI.02449-09","2010-05",14
"10.1128/JVI.02476-09","2010-05",22
"10.1128/JVI.02487-09","2010-05",48
"10.1128/JVI.02524-09","2010-06",18
"10.1128/JVI.02534-09","2010-05",20
"10.1128/JVI.02591-09","2010-05",47
"10.1128/JVI.02642-09","2010-05",115
"10.1128/JVI.02633-09","2010-05",57
"10.1128/JVI.02545-09","2010-05",16
"10.1128/JVI.02637-09","2010-05",28
"10.1128/JVI.02654-09","2010-05",41
